SID,Action,Note
0001575520,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001573016,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001572781,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001572780,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001576478,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001572134,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001580076,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001572857,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001582302,exclude,per M. Siegfried email Jul-2026 (first nine orders)
0001571305,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001571652,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001571660,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001571778,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001571882,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001571951,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572140,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572310,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572312,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572351,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572352,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572519,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572739,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572747,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572778,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572795,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572805,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001572810,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
0001573017,otp,confirmed picked up on time per carrier (M. Siegfried email Jul-2026)
